Ville;Annee;Libelle;Sexe;Total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
1;0;23;F;22;;*;*;1;;2;1;2;3;6;7;
1;0;23;T;38;;*;1;1;;2;2;6;9;10;7;
1;0;24;M;15;;*;1;;;;;2;4;6;2;
1;0;24;F;9;;*;*;;;;;;2;4;2;
1;0;24;T;24;;*;2;;;;;2;6;10;4;
1;0;25;M;14;;*;;;;;;1;3;7;3;
1;0;25;F;33;;*;*;;;;;3;5;19;6;
1;0;25;T;47;;*;;;;;;4;8;26;9;
1;0;26;M;22;;*;1;;;;;1;2;8;9;1
1;0;26;F;38;;*;*;;;;;;6;15;15;1
1;0;26;T;60;;*;2;;;;;1;8;23;24;2
1;0;27;M;6;;*;;;;;;4;1;1;;
1;0;27;F;1;;*;*;;;;1;;;;;
1;0;27;T;7;;*;;;;;1;4;1;1;;
1;0;28;M;0;;*;;;;;;;;;;
1;0;28;F;0;;*;*;;;;;;;;;
1;0;28;T;0;;*;;;;;;;;;;
1;0;29;M;17;;*;;;;;;;5;7;5;
1;0;29;F;18;;*;*;;;;1;1;1;7;7;1
1;0;29;T;35;;*;;;;;1;1;6;14;12;1
1;0;30;M;1;;*;;;1;;;;;;;
1;0;30;F;2;1;*;*;;;;1;;;;;
1;0;30;T;3;1;*;;;1;;1;;;;;
1;0;31;M;53;;*;2;1;1;;;4;16;19;8;2
1;0;31;F;63;1;*;*;;;;2;1;13;20;23;2
1;0;31;T;116;1;*;3;1;1;;2;5;29;39;31;4
1;0;32;M;187;;*;;;;;8;27;63;65;24;
1;0;32;F;138;;*;*;;;;2;7;22;69;33;5
1;0;32;T;325;;*;;;;;10;34;85;134;57;5
1;0;33;M;220;;*;;1;;;12;15;41;89;59;3
1;0;33;F;280;;*;*;;1;3;1;6;28;105;118;18
1;0;33;T;500;;*;;1;1;3;13;21;69;194;177;21
1;0;34;M;187;;*;;;;1;4;15;37;80;42;8
1;0;34;F;263;;*;*;;;1;3;9;35;120;81;14
1;0;34;T;450;;*;;;;2;7;24;72;200;123;22
1;0;35;M;107;;*;;;1;2;6;10;25;41;22;
1;0;35;F;91;;*;*;;;;4;6;11;28;41;1
1;0;35;T;198;;*;;;1;2;10;16;36;69;63;1
1;0;36;M;0;;*;;;;;;;;;;
1;0;36;F;3;;*;*;;;;;;;3;;
1;0;36;T;3;;*;;;;;;;;3;;
1;0;37;M;11;;*;;;;;;2;1;2;6;
1;0;37;F;16;;*;*;1;;;;;1;3;7;4
1;0;37;T;27;;*;;1;;;;2;2;5;13;4
1;0;38;M;4;;*;;;;;;1;;1;2;
1;0;38;F;9;;*;*;;;2;;1;2;2;2;
1;0;38;T;13;;*;;;;2;;2;2;3;4;
1;0;39;M;69;;*;;;;;;7;13;24;23;2
1;0;39;F;37;;*;*;;;;;1;9;13;13;1
1;0;39;T;106;;*;;;;;;8;22;37;36;3
1;0;40;M;58;;*;;1;1;;;6;7;23;19;1
1;0;40;F;54;;*;*;;;;1;1;3;20;25;4
1;0;40;T;112;;*;;1;1;;1;7;10;43;44;5
1;0;41;M;10;;*;;;;;1;1;2;6;;
1;0;41;F;8;;*;*;;;;;1;2;2;3;
1;0;41;T;18;;*;;;;;1;2;4;8;3;
1;0;42;M;68;;*;;;1;3;7;20;23;13;1;
1;0;42;F;34;;*;*;;;2;7;6;9;9;1;
1;0;42;T;102;;*;;;1;5;14;26;32;22;2;
1;0;43;M;71;;*;1;2;1;2;3;4;16;30;11;1
1;0;43;F;70;;*;*;;;;2;3;10;29;23;3
1;0;43;T;141;;*;1;2;1;2;5;7;26;59;34;4
1;0;44;M;2;;*;;;;;;;1;;1;
1;0;44;F;8;;*;*;;;;;1;1;3;3;
1;0;44;T;10;;*;;;;;;1;2;3;4;
1;0;45;M;1;;*;;;;;;;;1;;
1;0;45;F;1;;*;*;;;;;;;;1;
1;0;45;T;2;;*;;;;;;;;1;1;
1;0;46;M;1;;*;;;;;;;;1;;
1;0;46;F;5;;*;*;;;;;;1;1;2;1
1;0;46;T;6;;*;;;;;;;1;2;2;1
1;0;47;M;14;;*;;;;;1;;4;5;4;
1;0;47;F;15;;*;*;;;;1;1;1;5;7;
1;0;47;T;29;;*;;;;;2;1;5;10;11;
1;0;48;M;4;;*;;;;;;;;3;1;
1;0;48;F;6;;*;*;;1;;;;1;2;2;
1;0;48;T;10;;*;;;1;;;;1;5;3;
1;0;49;M;0;;*;;;;;;;;;;
1;0;49;F;0;;*;*;;;;;;;;;
1;0;49;T;0;;*;;;;;;;;;;
1;0;50;M;6;6;*;;;;;;;;;;
1;0;50;F;5;5;*;*;;;;;;;;;
1;0;50;T;11;11;*;;;;;;;;;;
1;0;51;M;3;3;*;;;;;;;;;;
1;0;51;F;0;;*;*;;;;;;;;;
1;0;51;T;3;3;*;;;;;;;;;;
1;0;52;M;2;2;*;;;;;;;;;;
1;0;52;F;0;;*;*;;;;;;;;;
1;0;52;T;2;2;*;;;;;;;;;;
1;0;53;M;2;2;*;;;;;;;;;;
1;0;53;F;3;3;*;*;;;;;;;;;
1;0;53;T;5;5;*;;;;;;;;;;
1;0;54;M;1;1;*;;;;;;;;;;
1;0;54;F;1;1;*;*;;;;;;;;;
1;0;54;T;2;2;*;;;;;;;;;;
1;0;55;M;399;3;*;1;6;8;6;28;56;104;121;59;7
1;0;55;F;327;3;*;*;3;5;4;11;21;55;101;107;17
1;0;55;T;726;6;*;1;9;13;10;39;77;159;222;166;24
1;0;56;M;61;;*;;;;;;3;7;27;20;4
1;0;56;F;128;;*;*;;;;1;2;10;30;63;22
1;0;56;T;189;;*;;;;;1;5;17;57;83;26
1;0;57;M;26;;*;;3;5;4;4;1;3;4;2;
1;0;57;F;6;;*;*;1;;1;;1;2;1;;
1;0;57;T;32;;*;;4;5;5;4;2;5;5;2;
1;0;58;M;25;;*;;1;;1;2;1;1;8;9;2
1;0;58;F;80;;*;*;1;;;;1;3;29;38;8
1;0;58;T;105;;*;;2;;1;2;2;4;37;47;10
1;0;59;M;3;;*;;2;;;;;;;1;
1;0;59;F;3;;*;*;1;;;1;;1;;;
1;0;59;T;6;;*;;3;;;1;;1;;1;
1;0;60;M;47;2;*;2;7;8;2;3;7;8;3;4;
1;0;60;F;29;;*;*;1;1;;4;;2;14;7;
1;0;60;T;76;2;*;2;8;9;2;7;7;10;17;11;
1;0;61;M;49;;*;;7;8;7;8;2;8;6;3;
1;0;61;F;31;;*;*;3;2;1;2;10;4;3;5;
1;0;61;T;80;;*;1;10;10;8;10;12;12;9;8;
1;0;62;M;3;;*;;;;2;1;;;;;
1;0;62;F;2;;*;*;;;;;;;;;
1;0;62;T;5;;*;1;;;2;1;;;;;
1;0;63;M;7;;*;;;4;1;;;;2;;
1;0;63;F;8;;*;*;1;2;;;1;1;2;1;
1;0;63;T;15;;*;;1;6;1;;1;1;4;1;
1;0;64;M;5;;*;;;;;;;;2;1;2
1;0;64;F;10;;*;*;;;;;3;2;4;1;
1;0;64;T;15;;*;;;;;;3;2;6;2;2
2;0;0;M;24;;;;;1;1;2;6;6;8;;
2;0;0;F;11;;*;;;1;;2;;2;3;3;
2;0;0;T;35;;;;;2;1;4;6;8;11;3;
2;0;1;M;1;;1;;;;;;;;;;
2;0;1;F;0;;*;;;;;;;;;;
2;0;1;T;1;;1;;;;;;;;;;
2;0;2;M;0;;;;;;;;;;;;
2;0;2;F;0;;*;;;;;;;;;;
2;0;2;T;0;;;;;;;;;;;;
2;0;3;M;2;;;;1;;;;;;;1;
2;0;3;F;3;;*;;;1;;;;1;1;;
2;0;3;T;5;;;;1;1;;;;1;1;1;
2;0;4;M;19;1;;;;2;;3;2;5;5;1;
2;0;4;F;22;;*;;;1;;3;1;1;9;4;2
2;0;4;T;41;1;1;;;3;;6;3;6;14;5;2
2;0;5;M;66;;;;;;;18;20;15;11;2;
2;0;5;F;14;;*;;;;;;1;6;5;2;
2;0;5;T;80;;;;;;;18;21;21;16;4;
2;0;6;M;39;;;;;;;3;11;15;8;2;
2;0;6;F;12;;*;;;;;;4;2;4;2;
2;0;6;T;51;;;;;;;3;15;17;12;4;
2;0;7;M;70;;;;;;;5;10;27;20;8;
2;0;7;F;55;;*;;;;;1;5;15;18;15;1
2;0;7;T;125;;;;;;;6;15;42;38;23;1
2;0;8;M;81;;;;;;;2;13;32;29;5;
2;0;8;F;83;;*;;;1;;5;8;12;35;22;
2;0;8;T;164;;;;;1;;7;21;44;64;27;
2;0;9;M;40;;;;;;;5;5;16;10;4;
2;0;9;F;44;;*;;;;;;9;11;14;9;1
2;0;9;T;84;;;;;;;5;14;27;24;13;1
2;0;10;M;56;;;;;;1;7;9;18;18;3;
2;0;10;F;28;;*;;;;1;3;5;7;10;2;
2;0;10;T;84;;;;;;2;10;14;25;28;5;
2;0;11;M;40;;;;1;;1;3;6;16;11;1;1
2;0;11;F;28;;*;;;;;5;4;8;7;4;
2;0;11;T;68;;;;1;;1;8;10;24;18;5;1
2;0;12;M;387;;;;;1;7;43;105;130;90;11;
2;0;12;F;39;;*;;;;1;4;10;10;11;3;
2;0;12;T;426;;;;;1;8;47;115;140;101;14;
2;0;13;M;6;;;;;;1;1;2;;2;;
2;0;13;F;3;;*;;;1;1;;;;1;;
2;0;13;T;9;;;;;1;2;1;2;;3;;
2;0;14;M;7;;;;;;;;2;4;1;;
2;0;14;F;152;;*;;;1;6;22;30;47;32;13;1
2;0;14;T;159;;;;;1;6;22;32;51;33;13;1
2;0;15;M;0;;;;;;;;;;;;
2;0;15;F;14;;*;;;;2;;6;3;2;1;
2;0;15;T;14;;;;;;2;;6;3;2;1;
2;0;16;M;0;;;;;;;;;;;;
2;0;16;F;43;;*;;;;3;2;8;14;12;4;
2;0;16;T;43;;;;;;3;2;8;14;12;4;
2;0;17;M;0;;;;;;;;;;;;
2;0;17;F;29;;*;;;1;3;5;5;9;4;2;
2;0;17;T;29;;;;;1;3;5;5;9;4;2;
2;0;18;M;98;;;;;;;2;8;24;51;13;
2;0;18;F;0;;*;;;;;;;;;;
2;0;18;T;98;;;;;;;2;8;24;51;13;
2;0;19;M;16;;;1;;;;1;9;4;;1;
2;0;19;F;11;;*;;;;;2;;3;4;2;
2;0;19;T;27;;;1;;;;3;9;7;4;3;
2;0;20;M;88;;;;;;;2;16;29;31;10;
2;0;20;F;21;;*;;;;;;;7;13;;1
2;0;20;T;109;;;;;;;2;16;36;44;10;1
2;0;21;M;74;;2;5;4;5;4;4;7;23;15;4;1
2;0;21;F;64;;*;3;;;1;7;7;17;17;11;
2;0;21;T;138;;3;8;4;5;5;11;14;40;32;15;1
2;0;22;M;288;;1;1;1;1;5;35;58;97;69;20;
2;0;22;F;274;1;*;3;2;1;8;28;41;87;62;37;4
2;0;22;T;562;1;1;4;3;2;13;63;99;184;131;57;4
2;0;23;M;49;;1;2;;;2;9;9;14;12;;
2;0;23;F;32;;*;;;1;1;1;3;14;9;2;1
2;0;23;T;81;;1;2;;1;3;10;12;28;21;2;1
2;0;24;M;16;;2;;1;;;;3;4;4;1;1
2;0;24;F;23;1;*;1;1;;;1;1;;12;6;
2;0;24;T;39;1;2;1;2;;;1;4;4;16;7;1
2;0;25;M;54;;;;;;1;2;5;19;25;1;1
2;0;25;F;92;;*;1;;;;1;3;25;46;15;1
2;0;25;T;146;;;1;;;1;3;8;44;71;16;2
2;0;26;M;47;;;2;;;1;2;7;6;22;6;1
2;0;26;F;66;;*;;;;;;5;13;20;26;2
2;0;26;T;113;;;2;;;1;2;12;19;42;32;3
2;0;27;M;21;;;;;;;5;5;6;4;;1
2;0;27;F;3;;*;;;;;1;1;1;;;
2;0;27;T;24;;;;;;;6;6;7;4;;1
2;0;28;M;1;;;;;;;;;;1;;
2;0;28;F;0;;*;;;;;;;;;;
2;0;28;T;1;;;;;;;;;;1;;
2;0;29;M;15;;;;;;;1;1;4;7;2;
2;0;29;F;35;;*;;;;;1;1;8;15;9;1
2;0;29;T;50;;;;;;;2;2;12;22;11;1
2;0;30;M;6;;1;2;;;;;1;2;;;
2;0;30;F;4;;*;;;;;;2;1;1;;
2;0;30;T;10;;1;2;;;;;3;3;1;;
2;0;31;M;119;;1;;;3;4;7;12;33;51;8;
2;0;31;F;128;1;*;2;2;1;2;8;3;25;57;24;3
2;0;31;T;247;1;1;2;2;4;6;15;15;58;108;32;3
2;0;32;M;400;;;;;2;3;37;64;132;125;36;1
2;0;32;F;272;;*;;;;1;6;15;52;128;66;4
2;0;32;T;672;;;;;2;4;43;79;184;253;102;5
2;0;33;M;460;2;;;;4;7;19;38;95;188;103;4
